Experiment,Model,d_vector,stft_window,num_hidden,layers
Exp0,BLSTMModel,-,8192,200,1
Exp1,BLSTMModel,-,8192,200,3
Exp2,BLSTMModel,-,8192,200,5
Exp3,BLSTMModel,-,8192,300,1
Exp4,BLSTMModel,-,8192,300,3
Exp5,BLSTMModel,-,8192,300,5
Exp6,BLSTMModel,-,8192,400,1
Exp7,BLSTMModel,-,8192,400,3
Exp8,BLSTMModel,-,8192,400,5
Exp9,BLSTMModel,-,16384,200,1
Exp10,BLSTMModel,-,16384,200,3
Exp11,BLSTMModel,-,16384,200,5
Exp12,BLSTMModel,-,16384,300,1
Exp13,BLSTMModel,-,16384,300,3
Exp14,BLSTMModel,-,16384,300,5
Exp15,BLSTMModel,-,16384,400,1
Exp16,BLSTMModel,-,16384,400,3
Exp17,BLSTMModel,-,16384,400,5
Exp18,ChimeraNetwork,5,8192,500,4
Exp19,ChimeraNetwork,10,8192,500,4
Exp20,ChimeraNetwork,20,8192,500,4
Exp21,ChimeraNetwork,40,8192,500,4
